Colony,Trial,TrialNumber,Day,Area,Length,Nest.Area,HumLevel,Number.Ant,Number.Brood,Number.Queens,Salt,SubstrateISide,StartWtI,UsedWtI,StartWtII,UsedWtII,CollWallWt
1,1,1,10,217.829,31.0935,6659.982,High,102.6666667,91,2,K2SO4,R,10.00331,9.96027,10.00231,9.74923,0.27855
2,1,2,10,680.5483333,52.617,4200.087,High,68,126,1,KCl,R,10.00176,9.81924,10.00758,8.75677,1.32984
3,1,1,10,326.1155,43.8435,7118.275,High,84.33333333,67.33333333,1,NaAmm,L,10.0081,9.9055,10.0064,9.62142,0.44652
4,1,1,10,0,0,2371.857,Low,45.33333333,50,2,LiCl,L,10.00569,9.96981,10.0001,9.89458,0.12475
5,1,1,10,0,0,6570,Low,69.66666667,55,4,MgCl,L,10.00716,9.99988,10.00146,9.96565,0.02892
7,1,2,10,1701.136,145.168,1642.156,High,61.33333333,72,1,NaAmm,L,10.0036,9.8435,10.00055,9.7473,0.2527
8,1,3,10,383.596,48.325,1516.824,Low,74,60,4,P2O5,R,10.0027,9.5793,10.0022,9.48619,0.88881
9,1,1,10,0,0,6570,High,13,2,8,KCl,R,10.00412,10.00109,10.00475,9.99491,0.00301
10,1,1,10,0,0,6570,Med,53.66666667,2.666666667,1,MgAce,R,10.00653,9.98757,10.00475,9.99624,0
11,1,2,10,882.606,82.982,3034.717,Low,69.33333333,12,1,MgCl,L,10.00616,9.4313,10.00498,9.2996,1.2011
12,1,1,10,6977.335,348.963,6613.371,Med,115.3333333,81.66666667,1,KCO3,L,10.0034,7.19048,10.0013,6.92173,5.85453
13,1,2,10,3691.206,260.379,4328.887,Low,120,198.6666667,1,LiCl,R,10.0062,9.2559,10.00458,8.3351,2.346
14,1,1,10,2444.142,146.405,3137.381,Low,17.66666667,27,8,P2O5,R,10.0062,9.04585,10.00295,7.59888,3.23607
15,1,2,10,1782.814,140.638,6432.034,Med,105.3333333,65.33333333,4,MgNO3,L,10.00238,9.513,10.00354,8.8011,1.6255
17,1,2,10,393.397,66.069,3450.239,High,84,35.33333333,1,K2SO4,R,10.0021,9.95663,10.00276,9.36263,0.6692
18,1,1,10,2152.717,166.1415,6201.215,Med,211.3333333,152,1,NaCl,L,10.00118,9.65273,10.00325,8.27689,1.98974
20,1,1,10,2794.776,189.747,4940.486,Med,104,94.66666667,2,MgNO3,R,10.00073,8.9486,10.00509,8.2637,2.75766
21,1,2,10,239.635,58.234,3726.781,Med,300,259.3333333,11,NaCl,R,10.00636,9.97451,10.00261,9.69409,0.2788
22,1,2,10,0,0,6570,Low,202,55.33333333,3,P2O5,L,10.00201,9.99371,10.00413,9.94171,0.0203
1,2,3,10,0,0,6570,Low,15,33,2,LiCl,L,10.0048,10.0023,10.0089,9.96606,0
2,2,4,10,0,0,6570,Low,60.66666667,92,1,P2O5,L,10.00315,9.9934,10.00014,9.95563,0.03893
3,2,3,10,830.39,57.231,3659.686,Low,64,81.33333333,1,MgCl,R,10.0022,9.95612,10.0082,8.93572,1.06993
4,2,3,10,0,0,6570,Med,16.33333333,16.66666667,2,MgNO3,R,10.00394,10.00161,10.00471,9.98611,0.00561
5,2,3,10,0,0,6570,Med,15.66666667,10.66666667,4,NaCl,R,10.0031,9.9986,10.0019,9.99035,0
7,2,4,10,629.5235,75.32,1642.156,Low,36.33333333,83,1,LiCl,R,10.00393,9.8392,10.00407,9.69058,0.42353
11,2,4,10,23.927,14.318,6570,Med,70.66666667,19.66666667,1,NaCl,L,10.0014,9.99647,10.00333,9.96781,0.02762
12,2,3,10,7998.805,360.147,7042.286,High,76.66666667,67.33333333,1,KCl,R,10.0016,9.70973,10.0029,5.46809,4.74979
13,2,4,10,3701.209,230.821,3750.675,Med,67,189.6666667,1,MgNO3,L,10.00622,9.2587,10.00577,9.26986,1.46415
14,2,3,10,1945.579,146.172,3381.652,Med,91.33333333,63,8,KCO3,L,10.00255,9.84351,10.00105,9.50064,0.60449
15,2,4,10,0,0,6570,High,72,64,4,K2SO4,R,10.00139,9.99729,10.00109,9.999,0.00873
17,2,4,10,2127.038,161.711,1958.342,Low,54.66666667,16,1,MgCl,L,10.00396,9.84172,10.00178,9.08477,1.02935
18,2,3,10,985.9585,91.249,4224.6,High,136,109,1,NaAmm,R,10.0058,9.75545,10.0005,8.67094,1.50224
20,2,3,10,0,0,1558.558,High,89,70,2,K2SO4,L,10.0002,9.988,10.0039,9.93581,0.02815
21,2,4,10,0,0,6570,High,159,148,11,NaAmm,L,10.00059,9.99947,10.00045,9.92206,0.05954
22,2,4,10,0,0,6570,Med,55.66666667,14,3,KCO3,R,10.00059,9.99947,10.00006,9.9717,0.01034